img,label_text
0.png,Pullover
1.png,Ankle boot
2.png,Shirt
3.png,T-shirt/top
4.png,Dress
5.png,Coat
6.png,Coat
7.png,Sandal
8.png,Coat
9.png,Bag
10.png,T-shirt/top
11.png,Bag
12.png,Ankle boot
13.png,T-shirt/top
14.png,Pullover
15.png,Pullover
16.png,Ankle boot
17.png,Dress
18.png,Dress
19.png,Dress
20.png,Bag
21.png,Sneaker
22.png,Coat
23.png,Coat
24.png,T-shirt/top
25.png,Coat
26.png,Coat
27.png,Bag
28.png,Sneaker
29.png,Trouser
30.png,Sandal
31.png,T-shirt/top
32.png,Sandal
33.png,Dress
34.png,Pullover
35.png,Sneaker
36.png,Dress
37.png,Coat
38.png,Pullover
39.png,Trouser
40.png,Shirt
41.png,T-shirt/top
42.png,Ankle boot
43.png,Shirt
44.png,T-shirt/top
45.png,Sandal
46.png,Shirt
47.png,Sneaker
48.png,Sneaker
49.png,Pullover
50.png,Sandal
51.png,Pullover
52.png,Pullover
53.png,Coat
54.png,Trouser
55.png,Coat
56.png,Ankle boot
57.png,Bag
58.png,Dress
59.png,Coat
60.png,Sandal
61.png,Sandal
62.png,Shirt
63.png,Dress
64.png,Sandal
65.png,Bag
66.png,Sandal
67.png,Ankle boot
68.png,Bag
69.png,Trouser
70.png,Pullover
71.png,Bag
72.png,Trouser
73.png,Dress
74.png,Shirt
75.png,Bag
76.png,Dress
77.png,Coat
78.png,Pullover
79.png,Sandal
80.png,T-shirt/top
81.png,Pullover
82.png,Shirt
83.png,Bag
84.png,Trouser
85.png,Pullover
86.png,Sneaker
87.png,Shirt
88.png,Shirt
89.png,Coat
90.png,Shirt
91.png,Sandal
92.png,T-shirt/top
93.png,Trouser
94.png,Sneaker
95.png,Dress
96.png,Sandal
97.png,Bag
98.png,Coat
99.png,Dress
100.png,Bag
101.png,Sandal
102.png,T-shirt/top
103.png,Sandal
104.png,Dress
105.png,T-shirt/top
106.png,Bag
107.png,Sandal
108.png,Shirt
109.png,Trouser
110.png,T-shirt/top
111.png,Sneaker
112.png,Shirt
113.png,Trouser
114.png,Ankle boot
115.png,Sneaker
116.png,Shirt
117.png,Ankle boot
118.png,Dress
119.png,Dress
120.png,Pullover
121.png,Shirt
122.png,T-shirt/top
123.png,Shirt
124.png,Dress
125.png,Shirt
126.png,Dress
127.png,Sandal
128.png,Ankle boot
129.png,Sneaker
130.png,Sneaker
131.png,Shirt
132.png,Dress
133.png,Shirt
134.png,Sneaker
135.png,Pullover
136.png,Coat
137.png,Trouser
138.png,Dress
139.png,Trouser
140.png,T-shirt/top
141.png,Shirt
142.png,Dress
143.png,T-shirt/top
144.png,Dress
145.png,Coat
146.png,Shirt
147.png,Sandal
148.png,Ankle boot
149.png,Dress
150.png,Sneaker
151.png,Pullover
152.png,Coat
153.png,Bag
154.png,Bag
155.png,Shirt
156.png,Sneaker
157.png,Sandal
158.png,Shirt
159.png,Trouser
160.png,Ankle boot
161.png,Ankle boot
162.png,Trouser
163.png,Sneaker
164.png,T-shirt/top
165.png,Bag
166.png,Ankle boot
167.png,Sneaker
168.png,Sneaker
169.png,Bag
170.png,Shirt
171.png,Ankle boot
172.png,Pullover
173.png,Dress
174.png,T-shirt/top
175.png,Coat
176.png,Trouser
177.png,Ankle boot
178.png,Coat
179.png,Sneaker
180.png,Pullover
181.png,Bag
182.png,T-shirt/top
183.png,T-shirt/top
184.png,Bag
185.png,Coat
186.png,Sandal
187.png,Coat
188.png,Dress
189.png,Pullover
190.png,Shirt
191.png,Trouser
192.png,Sneaker
193.png,Sneaker
194.png,Sandal
195.png,Sneaker
196.png,Sneaker
197.png,Bag
198.png,T-shirt/top
199.png,Coat
200.png,Dress
201.png,Ankle boot
202.png,Sneaker
203.png,Coat
204.png,Sandal
205.png,Dress
206.png,Shirt
207.png,Sneaker
208.png,Shirt
209.png,Ankle boot
210.png,Shirt
211.png,Ankle boot
212.png,Coat
213.png,Trouser
214.png,Pullover
215.png,Sneaker
216.png,Dress
217.png,Bag
218.png,Dress
